utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,2,0.0,16399,425463372262852,7,37.9,220.7767333984375,0.03739999979734421,25,90376.66099552777,0.0010085564157135064,1.57542003E9,,,,0,,1,-0.61
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,5,0.0,16399,425463365539137,14,30.0,-586.5631713867188,0.030400000512599945,25,-230438.36320114645,0.002397700231676362,1.57542003E9,,,,0,,1,-0.61
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,6,0.0,16399,425463367955840,8,36.9,528.9391479492188,0.030100001022219658,25,226566.86905263626,0.001160791358090767,1.57542003E9,,,,0,,1,-0.61
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,12,0.0,16399,425463375340210,24,25.2,-99.7240219116211,0.055800002068281174,17,-50596.50166281142,0.19029366893311156,1.57542003E9,,,,0,,1,-0.61
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,19,0.0,16399,425463361953688,17,28.0,538.0267944335938,0.02670000120997429,21,11022.585647430098,0.0030066398239606148,1.57542003E9,,,,0,,1,-0.61
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,24,0.0,16399,425463365089824,19,27.9,572.119873046875,0.0333000011742115,21,247303.90234266032,0.003234992547669888,1.57542003E9,,,,0,,1,-0.61
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,25,0.0,16399,425463371334586,6,39.0,-433.2647705078125,0.03530000150203705,25,-193055.49673608007,8.372921387687362E-4,1.57542003E9,,,,0,,1,-0.61
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,29,0.0,16399,425463364444796,12,32.2,-451.7666015625,0.0276000015437603,25,-94121.86373680485,0.001807789796734829,1.57542003E9,,,,0,,1,-0.61
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,22,0.0,49359,4245375230627,19,27.4,372.8418273925781,0.2483000010251999,25,158631.556395287,0.0031846731363860867,1.60031245E9,,,,0,,3,-1.65
1589494245442,21091250000000,,,-1273508372192433379,-0.17327880859375,25.084462322411127,-0.12928900496897708,10.603475780963462,2593,13,0.0,49359,4245374194920,21,26.5,-450.7641906738281,0.24770000576972961,25,-206038.13517617827,0.005355861144370204,1.60087501E9,,,,0,,3,-1.65
